,id,created_at_existing,updated_at_existing,updated_at_total_existing,updated_at_unit_existing,updated_at_seconds_existing,let_agreed_existing,created_at_new,updated_at_new,updated_at_total_new,updated_at_unit_new,updated_at_seconds_new,let_agreed_new,new_listing,let_agreed_ts,created_at,updated_at,updated_at_total,updated_at_unit
75,1363841,2022-04-19 22:54:48.034525+00:00,2022-04-12 23:54:48.034525,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.034525+00:00,2022-04-12 23:54:48.034525,1,weeks
76,1337953,2022-04-19 22:54:48.033528+00:00,2022-04-12 23:54:48.033528,1,weeks,1649804088,True,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.033528+00:00,2022-04-12 23:54:48.033528,1,weeks
77,1348498,2022-04-19 22:54:48.027578+00:00,2022-04-12 23:54:48.027578,1,weeks,1649804088,True,2022-04-20 07:17:34.813079+00:00,2022-04-13 08:17:34.814102,1,weeks,1649834254,True,False,True,2022-04-19 22:54:48.027578+00:00,2022-04-13 08:17:34.814102,1,weeks
78,1318747,2022-04-19 22:54:48.024586+00:00,2022-04-12 23:54:48.024586,1,weeks,1649804088,False,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.024586+00:00,2022-04-12 23:54:48.024586,1,weeks
79,1361874,2022-04-19 22:54:48.022557+00:00,2022-04-12 23:54:48.022557,1,weeks,1649804088,False,,,1,weeks,1649804088,,False,,2022-04-19 22:54:48.022557+00:00,2022-04-12 23:54:48.022557,1,weeks
80,1345589,2022-04-19 22:54:48.019565+00:00,2022-04-12 23:54:48.020562,1,weeks,1649804088,False,2022-04-20 07:17:34.605413+00:00,2022-04-13 08:17:34.606410,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.019565+00:00,2022-04-13 08:17:34.606410,1,weeks
81,1333239,2022-04-19 22:54:48.017570+00:00,2022-04-12 23:54:48.017570,1,weeks,1649804088,False,2022-04-20 07:17:34.683312+00:00,2022-04-13 08:17:34.683312,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.017570+00:00,2022-04-13 08:17:34.683312,1,weeks
82,1365967,2022-04-19 22:54:48.013615+00:00,2022-04-12 23:54:48.013615,1,weeks,1649804088,False,2022-04-20 07:17:34.565543+00:00,2022-04-13 08:17:34.566539,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.013615+00:00,2022-04-13 08:17:34.566539,1,weeks
83,1362056,2022-04-19 22:54:48.011621+00:00,2022-04-12 23:54:48.011621,1,weeks,1649804088,False,2022-04-20 07:17:34.562550+00:00,2022-04-13 08:17:34.563547,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.011621+00:00,2022-04-13 08:17:34.563547,1,weeks
84,1361556,2022-04-19 22:54:48.010624+00:00,2022-04-12 23:54:48.010624,1,weeks,1649804088,False,2022-04-20 07:17:34.559558+00:00,2022-04-13 08:17:34.559558,1,weeks,1649834254,False,False,True,2022-04-19 22:54:48.010624+00:00,2022-04-13 08:17:34.559558,1,weeks
